ASIN,product_name,brand,FBA_label,amazon_choice,price_in_US_dollars,unit_price_flag,unit_price_USdollars,unit_price_unit,top_sales_rank,subscribe_flag,shipping_weight_in_ounces,answered_questions,rating_avg,rating_nums,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,subscribe_5_unitprice,subscribe_5_unit,subscribe_15_unitprice,subscribe_15_unit
B000I4PXCS,"Victorian Inn Instant Cappuccino, Hazelnut, 16-Ounce Canisters (Pack of 6)",Victorian Inn,Third Party,False,,False,,,1903.0,False,115.2,0,3.8,42.0,0.15,0.11,0.1,0.1,0.54,,,,
B000I4PXE6,"Victorian Inn Instant Cappuccino, Mocha, 16-Ounce Canisters (Pack of 6)",Victorian Inn,Third Party,False,40.87,True,0.43,Ounce,2012.0,False,108.8,0,3.4,23.0,0.12,0.2,0.15,0.2,0.33,,,,
B000I4PXG4,"Victorian Inn Instant Cappuccino, White Chocolate Caramel, 16-Ounce Canisters (Pack of 6)",Victorian Inn,Third Party,False,40.87,True,0.43,Ounce,2119.0,False,116.8,0,4.1,19.0,0.0,0.12,0.12,0.24,0.51,,,,
B000I6LXTI,NESCAFE Gold Blend Decaf 500GM 00230,Nescafé,,False,78.0,False,,,,False,,0,4.9,15.0,0.0,0.0,0.0,0.14,0.86,,,,
B000IH0TNI,"Jacobs 3in1 Classic Instant Coffee Sticks, 10 Single Servings (Pack of 1)",JACOBS,FBA,False,12.15,True,1.22,Count,776.0,False,7.8,5,4.5,28.0,0.0,0.04,0.13,0.15,0.69,,,,
B000IH2JEU,Jacobs 2 in 1- Instant Coffee with Cream (10 x 16 g)-Pack of 2,JACOBS,Third Party,False,28.99,True,28.99,Count,1093.0,False,7.0,0,4.9,11.0,0.0,0.0,0.0,0.14,0.86,,,,
B000IMSYKI,Instant Prehistoric Set # 4,Toysmith,Third Party,False,6.89,True,6.89,Item,3388.0,False,0.3,0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,
B000IYYRXO,Caffe D’Vita Sugar Free French Vanilla Instant Cappuccino Mix Powder - Pack of 6 - 8.5 oz. cans,Caffe D'Vita,FBA,False,42.99,True,0.84,Ounce,720.0,False,80.0,3,3.4,50.0,0.21,0.07,0.21,0.11,0.41,,,,
B000IZ24NS,"Caffe D’Vita Caramel Cappuccino, 6 Pack (16 oz)",Caffe D'Vita,FBA,False,36.99,False,,,461.0,False,86.4,0,4.3,44.0,0.0,0.13,0.05,0.2,0.63,,,,
B000IZ24PG,"Caffe D’Vita Irish Cream Cappuccino, 6 Pack (16 oz)",Caffe D'Vita,FBA,False,42.99,True,0.45,Ounce,415.0,False,112.0,9,4.2,202.0,0.12,0.03,0.04,0.12,0.69,,,,
B000J6BKKE,NESCAFE GOLD BLEND 1 CUP STICK PK200,Nescafa,Third Party,False,49.93,True,49.93,Count,855.0,False,22.4,0,4.6,88.0,0.02,0.03,0.06,0.13,0.76,,,,
B000JJNHCA,Gold Kili Instant 3-in-1 Coffee Mix 20 Sachets,Gold Kili,Third Party,False,8.3,True,0.65,Ounce,2252.0,False,16.0,0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,
B000JSLXEK,Nescafe Original Coffee 200g (England),Nescafé,Third Party,False,20.75,True,20.75,Count,2079.0,False,24.0,0,3.0,8.0,0.5,0.0,0.0,0.0,0.5,,,,
B000JSO1B2,Nescafe Original Coffee 50g (England),Nescafé,Third Party,False,9.99,True,0.2,Gram,5144.0,False,,0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,
B000JSQK8E,Brooke Bond Bru Coffee 100g,BRU,FBA,False,9.97,True,2.85,Ounce,1308.0,False,12.8,0,3.5,8.0,0.14,0.19,0.0,0.33,0.34,,,,
B000JSQKA2,"Bru Instant Coffee and Roasted Chicory, 7 Ounce",BRU,FBA,False,13.91,True,1.99,Ounce,194.0,False,22.4,10,4.4,119.0,0.06,0.03,0.08,0.09,0.74,,,,
B000JTR7XK,NESCAFE ORIG ONE CUP STICK SACHET PK200,Nescafé,Third Party,False,48.93,True,48.93,Count,3419.0,False,19.2,0,4.8,187.0,0.01,0.02,0.02,0.08,0.86,,,,
B000KIA99O,"Folgers Classic Decaf Medium Roast Ground Coffee, 42- .9 Ounce Fraction Packets, Frac Packs",Folger,Third Party,False,39.94,True,0.95,Count,3160.0,False,51.2,0,,,0.0,0.0,0.0,0.0,0.0,,,,
B000LQLO9O,Nescafe Instant Coffee 200g,Nestle,FBA,True,12.36,True,1.77,Ounce,418.0,False,9.6,0,4.7,49.0,0.03,0.0,0.02,0.14,0.81,,,,
B000LQLOBW,"Nescafe Instant Coffee, CASE, 12x200g",Nestle,FBA,False,130.95,False,,,1441.0,False,134.4,3,5.0,9.0,0.0,0.0,0.0,0.0,1.0,,,,
B000LQNCM6,Nescafe Decaffeinated Instant Coffee 100g,Nestle,Third Party,False,15.05,True,4.3,Ounce,5896.0,False,6.4,0,,,0.0,0.0,0.0,0.0,0.0,,,,
B000LQOJNC,Nescafe Decaffeinated Instant Coffee 200g,Nestle,Third Party,False,34.81,False,,,3933.0,False,10.7,0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,
B000LQOJNW,Nescafe Instant Coffee 100g,Nestle,Third Party,False,13.35,True,13.35,Count,4755.0,False,6.4,0,3.3,4.0,0.43,0.0,0.0,0.0,0.57,,,,
B000M805FK,Fireside Coffee Instant Cafe Mocha (Pumpkin Spice) (8 ounce),Fireside,FBA,False,4.49,True,4.49,Item,639.0,False,9.6,3,3.8,16.0,0.12,0.13,0.06,0.22,0.46,,,,
B000NJZY7W,Kenco Freeze Dried Decaffeinated Coffee 500 g,Kenco,Third Party,False,56.07,True,56.07,Count,2235.0,False,17.6,0,4.6,137.0,0.02,0.02,0.07,0.1,0.8,,,,
B000NKQ286,Ferrara Espresso Instant Coffee 2 oz set of 2,Ferrara,FBA,False,8.38,True,2.1,Ounce,315.0,False,16.0,4,4.3,66.0,0.02,0.06,0.14,0.1,0.68,,,,
B000NL514Q,Ferrara Instant Espresso Coffee 2 oz,Ferrara,FBA,False,7.0,True,3.5,Ounce,449.0,False,8.0,15,4.2,154.0,0.09,0.03,0.11,0.19,0.59,,,,
B000NLVGSQ,Cafe Direct Fairtrade Smooth Instant Coffee 500 G,GroceryLand,Third Party,False,52.96,False,,,,False,,0,4.4,23.0,0.11,0.0,0.05,0.0,0.83,,,,
B000NLXILY,CAFEDIRECT MEDIUM ROAST DECAFF TIN 500G,Cafedirect,Third Party,False,65.36,False,,,,False,,0,4.4,10.0,0.0,0.16,0.0,0.14,0.7,,,,
B000NXECSA,Daily Chef French Vanilla Cappucino - 3 lbs.,Member's Mark,Third Party,False,12.69,True,0.26,Ounce,196.0,False,54.4,8,4.6,154.0,0.03,0.03,0.05,0.05,0.85,,,,
B000NY4SY2,Tchibo Gold Selection Instant Coffee 7oz/200g,Tchibo,FBA,False,14.48,True,14.48,Count,1925.0,False,22.4,0,4.7,6.0,0.0,0.0,0.0,0.31,0.69,,,,
B000O1IAAC,NESCAFE UNSWEET Cappuccino SACH PK50 16G,Nescafé,Third Party,False,34.14,True,34.14,Count,426.0,False,35.2,0,4.5,249.0,0.05,0.03,0.05,0.08,0.79,,,,
B000OR17D8,Walkerswood Gift pack,Walkerswood,,False,45.0,False,,,1599.0,False,64.0,0,4.0,11.0,0.0,0.2,0.0,0.35,0.45,,,,
B000PG6KI0,Gold Choice Ginseng Coffee,Gold Choice,FBA,False,11.65,True,0.83,Ounce,518.0,False,16.0,0,4.3,54.0,0.09,0.03,0.08,0.07,0.72,,,,
B000QY5CIA,"Nescafe Classic Instant Greek Coffee Decaf, 7-Ounce Cans",Nescafé,FBA,False,34.77,True,2.48,Ounce,1155.0,False,22.4,0,4.7,11.0,0.0,0.0,0.15,0.0,0.85,,,,
